Grade,Topic Category,Topic Name,Description,Movie Connection Examples
5,Western Hemisphere Civilizations,Mesoamerica (Maya Aztec and Inca),The curriculum covers the foundations characteristics and environmental adaptations of these complex societies,Films or documentaries about ancient civilizations and archaeology
5,Western Hemisphere Civilizations,Native American Cultural Regions,The study of various Native American groups and their interactions with their environment and later with European settlers,Movies depicting diverse indigenous cultures before and during early colonization
5,European Exploration and Colonial Life,European Exploration,Motivations encounters and the effects of exploration on the Americas,Films about historical explorers like Columbus or early colonial settlements
5,European Exploration and Colonial Life,Colonial America,Life in the colonies the development of social structures and the lead-up to the American Revolution,Stories focusing on the 13 Colonies daily life or specific historical events like the Boston Tea Party
5,Founding of the United States,American Revolution and Independence,The causes of the war key figures the Declaration of Independence and the creation of the Constitution,The animated series Liberty's Kids covers this period in an age-appropriate way
5,Founding of the United States,U.S. Government and Civics,The three branches of government the Bill of Rights and the rights and responsibilities of citizens,Movies that explain the Constitution or the functions of government (e.g. Schoolhouse Rock! shorts)
5,Expansion and Conflict,Westward Expansion,The movement of people across the continent and the related social changes and conflicts,Movies about pioneers the Oregon Trail or the California Gold Rush
5,Expansion and Conflict,Civil War and Reconstruction,The causes of the war (including the antebellum period and the abolitionist movement) major events and the post-war Reconstruction era,Films depicting the lives of enslaved people (e.g. the Underground Railroad featured on PBS LearningMedia) the conflict or key figures like Abraham Lincoln
5,Modern Era Case Studies,Contemporary Issues (NYC Specific),Case studies of different modern countries in the Western Hemisphere to compare government and economic systems and explore current events,Documentaries or films about modern life culture or issues in countries like Canada Mexico Brazil etc. (ensuring age-appropriateness)
7,Indigenous Societies,Pre-Colonial Native Americans,History of Indigenous societies prior to European colonization with focus on people events and places in New York State,Films about Native American cultures and societies in the Northeast and across North America
7,European Contact and Colonization,Colonial Settlement,European colonization of North America including Dutch English and French settlements,Movies about colonial life early settlers and the founding of colonies in New York and surrounding regions
7,Medieval and Renaissance Europe,Medieval Europe,Study of European feudalism kingdoms and medieval society,Films about medieval life castles knights and the feudal system
7,Medieval and Renaissance Europe,The Renaissance in Europe,European Renaissance as a time of social scientific artistic and religious rebirth from 1463 to 1650,Movies about Renaissance artists inventors and the transformation of European society
7,Medieval and Renaissance Europe,The Protestant Reformation,Religious reformation and its impact on European society and later American colonization,Films about Martin Luther the Reformation and religious conflicts in Europe
7,Mesoamerican Civilizations,The Aztecs,Study of Aztec civilization governmental structure religious ceremonies and temples,Documentaries about Aztec society culture and archaeological discoveries
7,Mesoamerican Civilizations,The Incas,Study of Incan civilization in South America their empire and achievements,Films about Incan culture Machu Picchu and the Incan Empire
7,Founding Documents and Early Republic,The United States Constitution,Development of the Constitution Constitutional Convention and the framework of American government,Educational films about the Constitutional Convention and the creation of the Bill of Rights
7,Expansion and State History,The Erie Canal,Construction and impact of the Erie Canal on New York State and national development,Documentaries about the Erie Canal its construction and economic impact on New York
7,Expansion and Westward Movement,Territorial Expansion,American expansion including events like the Alamo and westward movement,Films about Texas independence the Alamo and westward expansion
7,Reform Movements,Women's Rights,Early women's rights movement including the Seneca Falls Convention,Movies about suffragettes Elizabeth Cady Stanton and early women's rights activists
7,Industrial Revolution,Impact of Industrialization,The Industrial Revolution and its effects on American society and economy,Films about factory life urbanization and technological changes during industrialization
7,Civil War Era,Causes of the Civil War,Growing sectional tensions slavery and states' rights leading to the Civil War,Movies depicting the antebellum South tensions between North and South and the road to war
7,Post-War Period,Reconstruction and Beyond,Period following the Civil War including Reconstruction and its challenges,Films about Reconstruction the challenges of reunification and the experiences of freed slaves
7,Cultural Movements,Harlem Renaissance,Celebration of African-American culture through art music and literature in the 1920s and 1930s,Documentaries about the Harlem Renaissance jazz age and African-American cultural achievements
7,Modern Reform,Progressive Era,Reform movements in government labor and social issues in the early 20th century,Films about progressive reformers labor movements and social reform
7,Modern America,Expansionism,United States territorial expansion in North America and other parts of the world,Movies about American imperialism territorial acquisitions and foreign policy
9,Ancient Civilizations,Paleolithic Era and First Civilizations,Beginning with the Paleolithic Era and development of the first human civilizations,Documentaries about early humans prehistoric life and the dawn of civilization
9,Classical Societies,Ancient Greece and Rome,Examination of classical Greek and Roman civilizations their governments cultures and legacies,Films about ancient Athens Sparta the Roman Republic and Roman Empire
9,Ancient Empires,Persian Empire,Study of the Persian Empire its expansion and conflicts with Greek city-states,Movies about Persian wars Persian culture and the Achaemenid Empire
9,Ancient Asia,Ancient China and India,Development of early Chinese dynasties and Indian civilizations including Buddhism and Hinduism,Films about ancient Chinese dynasties the Silk Road and ancient Indian kingdoms
9,Medieval World,Byzantine Empire,Eastern Roman Empire its culture religion and influence,Documentaries about Constantinople Byzantine art and the preservation of classical knowledge
9,Medieval World,Islamic Empires,Rise and spread of Islam development of Islamic civilizations and Golden Age,Films about early Islamic civilization the spread of Islam and Islamic contributions to science and culture
9,Medieval Africa,African Kingdoms,Study of African empires including Ghana Mali and Songhai,Documentaries about ancient African civilizations trade routes and Mansa Musa
9,Trade Networks,Silk Road and Trans-Saharan Trade,Expansion of trade networks connecting Asia Africa and Europe,Films about the Silk Road caravan trade and cultural exchange
9,Medieval Europe,Feudalism and Medieval Society,European feudal system medieval life and the role of the Catholic Church,Movies about medieval Europe knights feudal lords and the Crusades
9,Renaissance and Reformation,Renaissance,European Renaissance art science and humanism,Films about Leonardo da Vinci Michelangelo and Renaissance achievements
9,Renaissance and Reformation,Protestant Reformation,Religious reformation and its global impact,Movies about Martin Luther religious conflicts and the spread of Protestantism
9,Age of Exploration,European Exploration,Motivations for exploration Age of Discovery and encounters with the Americas,Films about explorers like Columbus Magellan and the Age of Discovery
9,Global Exchange,Columbian Exchange,Exchange of goods diseases ideas and people between hemispheres,Documentaries about the biological and cultural exchange following 1492
9,Empires and Conflict,Ottoman Empire,Rise and expansion of the Ottoman Empire,Films about Ottoman sultans Constantinople and Ottoman culture
9,Asian Empires,Mughal Empire,Mughal dynasty in India its culture architecture and religious tolerance,Movies about Mughal emperors like Akbar and monuments like the Taj Mahal
9,East Asian Powers,Ming and Qing Dynasties,Chinese dynasties their achievements and interactions with European traders,Films about imperial China the Forbidden City and Chinese culture
9,Gunpowder Empires,Safavid Empire,Persian Safavid Empire and Shia Islam,Documentaries about Persian art culture and religious conflicts
9,Pre-Columbian Americas,Aztec and Inca Empires,Complex societies in Mesoamerica and South America before Spanish conquest,Films about Aztec and Incan civilizations and Spanish conquistadors
10,Age of Absolutism,Absolute Monarchies,European absolute monarchs and centralized power in the 17th-18th centuries,Movies about Louis XIV Peter the Great and absolute rule
10,Enlightenment,Age of Enlightenment,Philosophical movement emphasizing reason individual rights and scientific method,Films about Enlightenment philosophers like Voltaire Locke and Rousseau
10,Political Revolutions,American Revolution,Colonial rebellion and creation of the United States,Movies about the Revolutionary War founding fathers and American independence
10,Political Revolutions,French Revolution,Overthrow of the French monarchy Reign of Terror and rise of Napoleon,Films about the French Revolution Napoleon Bonaparte and revolutionary France
10,Political Revolutions,Latin American Independence,Independence movements in Latin America led by figures like Bolivar and San Martin,Documentaries about Latin American revolutionaries and independence struggles
10,Industrial Revolution,Industrialization,Industrial Revolution technological changes and social impacts,Movies about factory life child labor and the transformation of society
10,Political Ideologies,Nationalism and Imperialism,Rise of nationalism and European imperial expansion,Films about nation-building colonial empires and imperial competition
10,European Imperialism,Scramble for Africa,European colonization and partition of Africa,Documentaries about colonialism resistance and the impact on African societies
10,Asian Imperialism,Imperialism in Asia,European and American imperialism in India China and Southeast Asia,Films about the British Raj Opium Wars and colonial rule in Asia
10,World War I,The Great War,Causes course and consequences of World War I,Movies about trench warfare the home front and the devastation of WWI
10,Interwar Period,Russian Revolution,Bolshevik Revolution creation of the Soviet Union and rise of communism,Films about Lenin the Russian Revolution and the formation of the USSR
10,Interwar Period,Rise of Totalitarianism,Fascism in Italy Nazism in Germany and militarism in Japan,Movies about Hitler Mussolini Stalin and the rise of totalitarian regimes
10,World War II,Second World War,Global conflict the Holocaust and Allied victory,Films about WWII battles the Holocaust D-Day and the Pacific Theater
10,World War II,The Holocaust,Genocide of European Jews and other groups by Nazi Germany,Documentaries about Holocaust survivors concentration camps and resistance
10,Cold War Era,Cold War,Ideological conflict between capitalism and communism proxy wars and nuclear tensions,Movies about the Cold War Berlin Wall Korean War and Vietnam War
10,Decolonization,End of Empires,Independence movements in Africa Asia and the Middle East,Films about decolonization independence leaders like Gandhi Nkrumah and nationalist movements
10,Modern Conflicts,Contemporary Global Issues,Recent conflicts terrorism globalization and international relations,Documentaries about modern conflicts Middle East tensions and global interconnectedness
10,Human Rights,Human Rights Movements,Civil rights movements women's rights and social justice globally,Films about human rights activists civil rights movements and social change
10,Economic Systems,Global Economics,Capitalism communism and mixed economies in the modern world,Documentaries comparing economic systems and global trade
10,Technology and Society,Technological Change,Impact of technology on society including digital revolution and communication,Films about technological innovation the internet and social media's impact
11,Colonial Foundations,Colonial America,Establishment of 13 colonies colonial life and diverse cultural foundations,Movies about early colonial settlements Jamestown Plymouth and colonial society
11,Colonial Foundations,Colonial Society and Economy,Development of colonial economies slavery and social structures,Films depicting plantation life indentured servitude and triangular trade
11,Revolutionary Era,Road to Revolution,Causes of the American Revolution including taxation without representation and colonial protests,Movies about the Boston Tea Party Sons of Liberty and revolutionary pamphlets
11,Revolutionary Era,American Revolution,Revolutionary War major battles and the fight for independence,Films about George Washington Valley Forge and Revolutionary War battles
11,Founding Documents,Declaration of Independence,Writing and significance of the Declaration of Independence,Educational films about Thomas Jefferson July 4 1776 and the Declaration
11,Founding Documents,Constitution and Bill of Rights,Constitutional Convention creation of the Constitution and Bill of Rights,Movies about the Constitutional Convention James Madison and the ratification debates
11,Early Republic,Federalist Era,Washington's presidency Hamilton's financial plan and early party politics,Films about George Washington Alexander Hamilton and the early republic
11,Early Republic,Jefferson and Expansion,Louisiana Purchase Lewis and Clark Expedition and westward growth,Movies about Thomas Jefferson the Louisiana Purchase and western exploration
11,War and Diplomacy,War of 1812,Causes course and consequences of the War of 1812,Films about the War of 1812 the burning of Washington and the Star-Spangled Banner
11,Westward Expansion,Manifest Destiny,Westward expansion territorial acquisitions and the ideology of Manifest Destiny,Movies about pioneers wagon trains and westward migration
11,Westward Expansion,Trail of Tears,Indian Removal Act and forced relocation of Native American tribes,Documentaries about the Trail of Tears Cherokee Nation and Andrew Jackson's policies
11,Westward Expansion,Mexican-American War,War with Mexico territorial gains and debates over expansion,Films about the Mexican-American War Texas annexation and California Gold Rush
11,Sectional Tensions,North vs South,Growing differences between industrial North and agricultural slave-holding South,Movies depicting regional differences economic systems and cultural conflicts
11,Slavery and Abolition,Abolitionist Movement,Anti-slavery movement key abolitionists and Underground Railroad,Films about Frederick Douglass Harriet Tubman and the Underground Railroad
11,Slavery and Abolition,Uncle Tom's Cabin,Impact of Harriet Beecher Stowe's novel on anti-slavery sentiment,Movies or documentaries about Harriet Beecher Stowe and her influential book
11,Pre-Civil War,Compromise and Conflict,Missouri Compromise Compromise of 1850 Kansas-Nebraska Act and Bleeding Kansas,Films about political compromises over slavery territorial disputes and violence in Kansas
11,Pre-Civil War,Dred Scott Decision,Supreme Court case denying citizenship to African Americans,Educational films about Dred Scott the Supreme Court and its impact
11,Civil War Era,Election of 1860,Lincoln's election Southern secession and formation of the Confederacy,Movies about Abraham Lincoln the 1860 election and secession crisis
11,Civil War Era,The Civil War,Major battles Emancipation Proclamation and Union victory,Films about Civil War battles Gettysburg and the experiences of soldiers
11,Civil War Era,Life During the Civil War,Home front women's roles and the impact of war on civilians,Movies depicting civilian life during the war women's contributions and hardships
11,Reconstruction,Reconstruction Era,Rebuilding the South 13th 14th and 15th Amendments and challenges of reunification,Films about Reconstruction freed slaves and the struggle for civil rights
11,Reconstruction,End of Reconstruction,Compromise of 1877 withdrawal of federal troops and rise of Jim Crow laws,Documentaries about the end of Reconstruction sharecropping and segregation
11,Industrial America,Gilded Age,Rapid industrialization rise of big business and wealth inequality,Movies about robber barons industrial tycoons like Carnegie and Rockefeller
11,Industrial America,Immigration and Urbanization,Mass immigration from Europe and Asia urbanization and city life,Films about Ellis Island immigrant experiences and urban growth
11,Industrial America,Labor Movement,Rise of labor unions strikes and workers' rights,Movies about labor strikes like Haymarket and Pullman labor leaders and working conditions
11,Progressive Era,Progressive Reforms,Social and political reforms muckrakers and government regulation,Films about progressive reformers Theodore Roosevelt and social reform movements
11,Progressive Era,Women's Suffrage,Women's fight for voting rights and the 19th Amendment,Movies about suffragettes Alice Paul and the women's suffrage movement
11,Imperialism,American Imperialism,Spanish-American War acquisition of territories and debates over empire,Films about the Spanish-American War Teddy Roosevelt and American expansion overseas
11,World War I,U.S. in World War I,American entry into WWI home front and impact on American society,Movies about WWI American soldiers the home front and Wilson's Fourteen Points
11,1920s,The Roaring Twenties,Jazz Age flappers consumer culture and cultural changes,Films about the 1920s jazz prohibition and cultural transformation
11,1920s,Harlem Renaissance,African-American cultural movement in art music and literature,Documentaries about Harlem Renaissance figures like Langston Hughes and Duke Ellington
11,Economic Crisis,Great Depression,Stock market crash economic collapse and suffering,Movies about the Great Depression Dust Bowl and economic hardship
11,New Deal Era,FDR and the New Deal,Roosevelt's presidency New Deal programs and government intervention,Films about Franklin Roosevelt New Deal programs and economic recovery
11,World War II,U.S. in World War II,Pearl Harbor American involvement in WWII and the home front,Movies about Pearl Harbor D-Day and the American role in WWII
11,World War II,Japanese Internment,Internment of Japanese Americans during WWII,Documentaries about internment camps civil liberties and Japanese-American experiences
11,World War II,Atomic Bomb,Development and use of atomic bombs on Hiroshima and Nagasaki,Films about the Manhattan Project atomic bombings and end of WWII
11,Cold War,Cold War Begins,Origins of Cold War containment policy and Truman Doctrine,Movies about the beginning of the Cold War Marshall Plan and Iron Curtain
11,Cold War,Korean War,U.S. involvement in Korean War and Cold War tensions in Asia,Films about the Korean War Cold War in Asia and the 38th parallel
11,Cold War,McCarthyism,Anti-communist hysteria Red Scare and Senator Joseph McCarthy,Movies about McCarthyism Hollywood blacklisting and accusations of communism
11,1950s America,Post-War Prosperity,Economic boom suburbanization and consumer culture,Films about 1950s America suburban life and economic prosperity
11,Civil Rights Movement,Brown v Board of Education,Supreme Court decision ending school segregation,Educational films about Brown v Board of Education and school integration
11,Civil Rights Movement,Civil Rights Movement,Struggle for racial equality protests and civil rights legislation,Movies about Martin Luther King Jr Rosa Parks Freedom Riders and civil rights protests
11,Civil Rights Movement,Malcolm X and Black Power,Alternative approaches to civil rights and Black nationalism,Films about Malcolm X the Black Panthers and Black Power movement
11,Cold War Conflicts,Vietnam War,U.S. involvement in Vietnam anti-war movement and divisive conflict,Movies about the Vietnam War anti-war protests and the war's impact on American society
11,1960s-70s,Great Society,LBJ's domestic programs War on Poverty and social legislation,Documentaries about Lyndon Johnson Great Society programs and social welfare
11,1960s-70s,Counterculture Movement,Youth rebellion anti-establishment sentiment and cultural revolution,Films about the 1960s counterculture Woodstock and social change
11,1960s-70s,Watergate Scandal,Nixon presidency Watergate break-in and resignation,Movies about Watergate Richard Nixon and the constitutional crisis
11,Women's Rights,Second-Wave Feminism,Women's liberation movement ERA and gender equality,Films about Betty Friedan Gloria Steinem and the feminist movement
11,Cold War End,Reagan Era,Conservative resurgence Cold War escalation and eventual thaw,Movies about Ronald Reagan the 1980s and end of the Cold War
11,Cold War End,Fall of Communism,Collapse of Soviet Union fall of Berlin Wall and end of Cold War,Films about the fall of the Berlin Wall collapse of the USSR and 1989 revolutions
11,Modern America,Persian Gulf War,First Iraq War Operation Desert Storm and U.S. military intervention,Documentaries about the Gulf War Iraqi invasion of Kuwait and Desert Storm
11,Modern America,9/11 and War on Terror,September 11 attacks Afghanistan and Iraq Wars and homeland security,Films about 9/11 War on Terror and the impact on American society
11,Contemporary Issues,Globalization,Economic globalization technology and international interconnectedness,Documentaries about globalization international trade and cultural exchange
11,Contemporary Issues,21st Century Challenges,Recent political social and economic issues facing the United States,Films about contemporary issues political polarization and social movements